chart_rank,artist,song_title
1,Miley Cyrus,Flowers
2,SZA,Kill Bill
3,"Metro Boomin, The Weeknd & 21 Savage",Creepin'
4,PinkPantheress & Ice Spice,"Boy's A Liar, Pt. 2"
5,Morgan Wallen,Last Night
6,Sam Smith & Kim Petras,Unholy
7,The Weeknd,Die For You
8,Taylor Swift,Anti-Hero
9,Beyonce,Cuff It
10,David Guetta & Bebe Rexha,I'm Good (Blue)
11,Lil Uzi Vert,Just Wanna Rock
12,Harry Styles,As It Was
13,Kane Brown With Katelyn Brown,Thank God
14,Drake & 21 Savage,Rich Flex
15,NEW,Love You Anyway
16,Morgan Wallen,Thought You Should Know
17,Chris Brown,Under The Influence
18,Bailey Zimmerman,Rock And A Hard Place
19,JVKE,Golden Hour
20,Meghan Trainor,Made You Look
21,Zach Bryan,Something In The Orange
22,Coi Leray,Players
23,Morgan Wallen,You Proof
24,Taylor Swift,Lavender Haze
25,Rema & Selena Gomez,Calm Down
26,RAYE Featuring 070 Shake,Escapism
27,Luke Combs,"Going, Going, Gone"
28,Steve Lacy,Bad Habit
29,"Metro Boomin, Future & Chris Brown",Superhero (Heroes & Villains)
30,SZA,Shirt
31,Miguel,Sure Thing
32,Stephen Sanchez,Until I Found You
33,SZA,Snooze
34,Lainey Wilson,Heart Like A Truck
35,Luke Combs,The Kind Of Love We Make
36,Future Featuring Drake & Tems,Wait For U
37,"RE-
ENTRY",Umbrella
38,NEW,Lost
39,Post Malone Featuring Doja Cat,I Like You (A Happier Song)
40,Bizarrap & Shakira,"Bzrp Music Sessions, Vol. 53"
41,Rihanna,Lift Me Up
42,Fuerza Regida X Grupo Frontera,Bebe Dame
43,HARDY Featuring Lainey Wilson,Wait In The Truck
44,"RE-
ENTRY",Diamonds
45,GloRilla & Cardi B,Tomorrow 2
46,Lizzo,About Damn Time
47,Cole Swindell,She Had Me At Heads Carolina
48,"RE-
ENTRY",We Found Love
49,Jordan Davis,What My World Spins Around
50,Sia,Unstoppable
51,SZA,Nobody Gets Me
52,NEW,Special
53,The Kid LAROI,Love Again
54,Carin Leon X Grupo Frontera,Que Vuelvas
55,Lady Gaga,Bloody Mary
56,Morgan Wallen,I Wrote The Book
57,Megan Moroney,Tennessee Orange
58,Carly Pearce,What He Didn't Do
59,Morgan Wallen,One Thing At A Time
60,Parker McCollum,Handle On You
61,Zach Bryan Featuring Maggie Rogers,Dawns
62,SZA,Low
63,Corey Kent,Wild As Her
64,Drake & 21 Savage,Spin Bout U
65,Lil Baby,Freestyle
66,"Gabito Ballesteros, Peso Pluma & Natanael Cano",AMG
67,Morgan Wallen,Everything I Love
68,Sabrina Carpenter,Nonsense
69,Tiesto Featuring Tate McRae,10:35
70,Ice Spice,In Ha Mood
71,d4vd,Here With Me
72,Brett Young,You Didn't
73,Peso Pluma X Natanael Cano,PRC
74,Luke Combs,Growin' Up And Gettin' Old
75,Grupo Frontera,No Se Va
76,NewJeans,OMG
77,Tory Lanez,The Color Violet
78,Jason Aldean,That's What Tequila Does
79,Karol G x Romeo Santos,X Si Volvemos
80,Future,Love You Better
81,SZA,Blind
82,Arcangel & Bad Bunny,La Jumpa
83,Hotel Ugly,Shut Up My Moms Calling
84,NEW,Fix'n To Break
85,Ozuna Featuring Feid,Hey Mor
86,"RE-
ENTRY",Forever
87,NLE Choppa & 2Rare,Do It Again
88,Cody Johnson,Human
89,SZA Featuring Phoebe Bridgers,Ghost In The Machine
90,Yandel & Feid,Yandel 150
91,SZA,Love Language
92,"RE-
ENTRY",Dancin' In The Country
93,Lewis Capaldi,Forget Me
94,Finesse2Tymes,Back End
95,Lil Baby,California Breeze
96,Jordan Davis,Next Thing You Know
97,Metro Boomin Featuring Don Toliver & Future,Too Many Nights
98,Nengo Flow & Bad Bunny,Gato de Noche
99,NEW,Painting Pictures
100,Morgan Wallen,Tennessee Fan
