category_id,category_name,playlist_id,name,description,owner_display_name,owner_id,total_tracks
toplists,Top Lists,37i9dQZF1DX4jP4eebSWR9,Hot Hits Deutschland,50 Hits in einer Playlist // Cover: Tiësto,Spotify,spotify,50
toplists,Top Lists,37i9dQZF1DX7ZUug1ANKRP,Main Stage,The biggest Dance hits and the ones to come. Welcome to the Main Stage! Cover: southstar,Spotify,spotify,50
toplists,Top Lists,37i9dQZF1DX36edUJpD76c,Modus Mio,Die wichtigste Hip-Hop Playlist Deutschlands. Cover: Ufo361,Spotify,spotify,50
toplists,Top Lists,37i9dQZF1DWUW2bvSkjcJ6,New Music Friday Deutschland,Jeden Freitag gibt's hier die besten Neuerscheinungen der Woche in einer Playlist. Cover: Milky Chance,Spotify,spotify,97
toplists,Top Lists,37i9dQZF1DX4dyzvuaRJ0n,mint,The world's biggest dance hits. Cover: John Summit & Hayla,Spotify,spotify,88
toplists,Top Lists,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,"New music from Nicki Minaj, Don Toliver and BIA.",Spotify,spotify,50
toplists,Top Lists,37i9dQZF1DXcF6B6QPhFDv,Rock This,PVRIS along with the best Rock songs you need to hear.,Spotify,spotify,51
toplists,Top Lists,37i9dQZF1DX4SBhb3fqCJd,Are & Be,The pulse of R&B music today. Cover:  Kali Uchis,Spotify,spotify,50
toplists,Top Lists,37i9dQZF1DWWjGdmeTyeJ6,Fresh Finds,The best new music by independent artists and labels. Cover: Meg Smith. Artwork by Isu Kim. Updates every Wednesday.,Spotify,spotify,82
toplists,Top Lists,37i9dQZEVXbJiZcmkrIHGU,Top 50 – Deutschland,Your daily update of the most played tracks right now - Germany.,Spotify,spotify,50
toplists,Top Lists,37i9dQZEVXbMDoHDwVN2tF,Top 50 – Global,Your daily update of the most played tracks right now - Global.,Spotify,spotify,50
toplists,Top Lists,37i9dQZEVXbLiRSasKsNU9,Viral 50 – Global,Your daily update of the most viral tracks right now - Global.,Spotify,spotify,50
toplists,Top Lists,37i9dQZEVXbNv6cjoMVCyg,Viral 50 – Deutschland,Your daily update of the most viral tracks right now - Germany.,Spotify,spotify,50
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DWZESE3fHLhmD,Frühlingsgefühle,Endlich Frühling! 🌸,Spotify,spotify,70
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DX3Ebqev5IkYU,Stimmungsmacher,Schlechte Laune? Drück den Play Button!,Spotify,spotify,60
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DXaIrEwuQ3hyy,Frühlings Chillout,"Bye bye, Winterblues!",Spotify,spotify,80
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DWSWyJydK4fTU,Top of the Morning,Für einen tollen Start in den Tag. Oder einfach so.,Spotify,spotify,70
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DX8ttEdg9VJHO,Feelgood Pop,Für ein bisschen mehr Leichtigkeit.,Spotify,spotify,70
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DWZSeAwtQzvji,Sanfter Pop,"Songs, die dich umarmen.",Spotify,spotify,60
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DX1htCFhfVtyK,Zuhause,In den eigenen vier Wänden ist es immer noch am schönsten.,Spotify,spotify,80
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DX6KItbiYYmAv,Kaffeehausmusik,Hol dir dein Lieblingscafé nach Hause.,Spotify,spotify,150
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DXbKGrOUA30KN,POPLAND,Dein Deutschpop. Deine Welt. Deine Playlist. Cover: LINA,Spotify,spotify,55
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DWSGhQVrPck2m,Deutsche Poesie,Manchmal sind Lieder wahre Poesie.,Spotify,spotify,60
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DWSFDWzEZlALC,Wilde Herzen,"Indie, Pop und Rap mit deutschen Texten. Cover: AnnenMayKantereit",Spotify,spotify,75
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DWZKcUljB77Oy,entourage,"caption this 💅 cover: Dardan, Hava",Spotify,spotify,70
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DX3VggiUuuCh4,Best of Deutschpop 2022,"Dein Deutschpop des Jahres. Cover: Esther Graf, Monet192",Spotify,spotify,50
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DX2cNqJ4LgCMf,Popland 2010-2019,Die großen Deutschpop-Hits des vergangenen Jahrzehnts in einer Playlist.,Spotify,spotify,100
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DWVbwsNVGejNr,Popland 2000-2009,Die größten deutschsprachigen Hits der 00er-Dekade in einer Playlist. Cover: Culcha Candela,Spotify,spotify,50
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DX1WhyP6stXXl,Pop Brandneu,Neues aus der Welt des Pop. Cover: Mimi Webb,Spotify,spotify,69
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DXbKGrOUA30KN,POPLAND,Dein Deutschpop. Deine Welt. Deine Playlist. Cover: LINA,Spotify,spotify,55
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DX2YSAZIuAiB1,swag!,😎😎😎 feat. Ice Spice,Spotify,spotify,64
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DWZKcUljB77Oy,entourage,"caption this 💅 cover: Dardan, Hava",Spotify,spotify,70
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DWSWyJydK4fTU,Top of the Morning,Für einen tollen Start in den Tag. Oder einfach so.,Spotify,spotify,70
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DXchMhcG0ua22,★✩♡ hyperpop:de ♡✩★,"trinkst den vodka nur auf eis, bist ein blizzard
ft. Baby B3ns",Spotify,spotify,66
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DX4jP4eebSWR9,Hot Hits Deutschland,50 Hits in einer Playlist // Cover: Tiësto,Spotify,spotify,50
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,KAROL G & Shakira are on top of the Hottest 50!,Spotify,spotify,50
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DX3Ebqev5IkYU,Stimmungsmacher,Schlechte Laune? Drück den Play Button!,Spotify,spotify,60
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DWTBz12MDeCuX,me right now,"Die Playlist, die dich fühlt. Cover: Verifiziert
",Spotify,spotify,71
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DX2L0iB23Enbq,Viral Hits,"Viral, trending and taking off.",Spotify,spotify,106
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DWZESE3fHLhmD,Frühlingsgefühle,Endlich Frühling! 🌸,Spotify,spotify,70
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DWSWyJydK4fTU,Top of the Morning,Für einen tollen Start in den Tag. Oder einfach so.,Spotify,spotify,70
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DXbKGrOUA30KN,POPLAND,Dein Deutschpop. Deine Welt. Deine Playlist. Cover: LINA,Spotify,spotify,55
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DWWMOmoXKqHTD,Songs to Sing in the Car,Sing along and enjoy the drive...,Spotify,spotify,100
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DX1WhyP6stXXl,Pop Brandneu,Neues aus der Welt des Pop. Cover: Mimi Webb,Spotify,spotify,69
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DWSGhQVrPck2m,Deutsche Poesie,Manchmal sind Lieder wahre Poesie.,Spotify,spotify,60
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DWX7rdRjOECPW,Sommerhits 2022,Sommer war schön!,Spotify,spotify,75
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DX5Vy6DFOcx00,big on the internet,iykyk,Spotify,spotify,124
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DX9ASuQophyb3,Türkçe Pop,Türkiye'nin en büyük pop listesi. Kapak: İkilem,Spotify,spotify,50
